"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Swag Labs Mobile Tests","Checkout Functionality","Successful Checkout","0","0","0","1","0"
"Swag Labs Mobile Tests","Products Functionality","","0","1","0","0","0"
"Swag Labs Mobile Tests","Products Functionality","Add Product to Cart","0","0","0","1","0"
"Swag Labs Mobile Tests","Checkout Functionality","","0","1","0","0","0"
"Swag Labs Mobile Tests","End-to-End Purchase Flow","Complete Purchase Flow","0","0","0","1","0"
"Swag Labs Mobile Tests","Menu Functionality","Logout from Menu","0","0","0","1","0"
"Swag Labs Mobile Tests","Login Functionality","Invalid Login - Wrong Credentials","0","0","0","1","0"
"Swag Labs Mobile Tests","End-to-End Purchase Flow","","0","1","0","0","0"
"Swag Labs Mobile Tests","Login Functionality","Locked Out User Login","0","0","0","1","0"
"Swag Labs Mobile Tests","Cart Functionality","Remove Item from Cart","0","0","0","1","0"
"Swag Labs Mobile Tests","Login Functionality","","0","1","0","0","0"
"Swag Labs Mobile Tests","Checkout Functionality","Checkout with Empty Fields","0","0","0","1","0"
"Swag Labs Mobile Tests","Cart Functionality","","0","1","0","0","0"
"Swag Labs Mobile Tests","Cart Functionality","Add Item to Cart","0","0","0","1","0"
"Swag Labs Mobile Tests","Menu Functionality","","0","1","0","0","0"
"Swag Labs Mobile Tests","Login Functionality","Valid Login","0","0","0","1","0"
"Swag Labs Mobile Tests","Products Functionality","View Products After Login","0","0","0","1","0"
"Swag Labs Mobile Tests","Checkout Functionality","Checkout Confirmation Message","0","0","0","1","0"
"Swag Labs Mobile Tests","Menu Functionality","Open Menu","0","0","0","1","0"
