"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 07 21:49:42 UTC 2025","Sun Sep 07 21:49:42 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.LoginTest","com.projects.tests.LoginTest","setUp","setUp",""
"skipped","Sun Sep 07 21:49:22 UTC 2025","Sun Sep 07 21:49:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.MenuTest","com.projects.tests.MenuTest","logoutShouldReturnToLoginPage","logoutShouldReturnToLoginPage","Verify that logging out from the menu returns the user to the login page"
"skipped","Sun Sep 07 21:49:02 UTC 2025","Sun Sep 07 21:49:02 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.CartTest","com.projects.tests.CartTest","addedItemShouldAppearInCart","addedItemShouldAppearInCart","Verify that when a user adds an item, it correctly appears in the cart"
"skipped","Sun Sep 07 21:48:22 UTC 2025","Sun Sep 07 21:48:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.CheckoutTest","com.projects.tests.CheckoutTest","validCheckoutShouldCompleteOrder","validCheckoutShouldCompleteOrder","Verify that a valid checkout flow completes the order successfully"
"skipped","Sun Sep 07 21:49:42 UTC 2025","Sun Sep 07 21:49:42 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.LoginTest","com.projects.tests.LoginTest","lockedOutUserShouldNotLogin","lockedOutUserShouldNotLogin","Verify that a locked-out user cannot log in and sees the correct error message"
"skipped","Sun Sep 07 21:49:42 UTC 2025","Sun Sep 07 21:49:42 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.LoginTest","com.projects.tests.LoginTest","validLoginShouldNavigateToProducts","validLoginShouldNavigateToProducts","Verify that a valid login navigates the user to the Products page"
"broken","Sun Sep 07 21:48:42 UTC 2025","Sun Sep 07 21:48:42 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.ProductsFlowTest","com.projects.tests.ProductsFlowTest","setUp","setUp",""
"skipped","Sun Sep 07 21:48:42 UTC 2025","Sun Sep 07 21:48:42 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.ProductsFlowTest","com.projects.tests.ProductsFlowTest","endToEndPurchaseFlow","endToEndPurchaseFlow","Verify the complete end-to-end flow: login, add product to cart, checkout, and confirm successful order"
"skipped","Sun Sep 07 21:48:22 UTC 2025","Sun Sep 07 21:48:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.CheckoutTest","com.projects.tests.CheckoutTest","validCheckoutShouldShowCorrectMessage","validCheckoutShouldShowCorrectMessage","Verify that the correct confirmation message is displayed after successful checkout"
"skipped","Sun Sep 07 21:48:02 UTC 2025","Sun Sep 07 21:48:02 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.ProductsTest","com.projects.tests.ProductsTest","productsPageShouldDisplayItemsAfterLogin","productsPageShouldDisplayItemsAfterLogin","Verify that the Products page loads after login and displays available items"
"broken","Sun Sep 07 21:48:02 UTC 2025","Sun Sep 07 21:48:02 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.ProductsTest","com.projects.tests.ProductsTest","setUp","setUp",""
"broken","Sun Sep 07 21:49:02 UTC 2025","Sun Sep 07 21:49:02 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.CartTest","com.projects.tests.CartTest","setUp","setUp",""
"broken","Sun Sep 07 21:49:22 UTC 2025","Sun Sep 07 21:49:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.MenuTest","com.projects.tests.MenuTest","setUp","setUp",""
"skipped","Sun Sep 07 21:49:02 UTC 2025","Sun Sep 07 21:49:02 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.CartTest","com.projects.tests.CartTest","removeItemShouldEmptyCart","removeItemShouldEmptyCart","Verify that removing an item from the cart makes it empty"
"skipped","Sun Sep 07 21:48:02 UTC 2025","Sun Sep 07 21:48:02 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.ProductsTest","com.projects.tests.ProductsTest","addItemToCartShouldIncreaseCartBadge","addItemToCartShouldIncreaseCartBadge","Verify that adding a product updates the cart badge count correctly"
"skipped","Sun Sep 07 21:48:22 UTC 2025","Sun Sep 07 21:48:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.CheckoutTest","com.projects.tests.CheckoutTest","emptyFieldsShouldShowError","emptyFieldsShouldShowError","Verify that leaving required checkout fields empty displays an error message"
"broken","Sun Sep 07 21:48:22 UTC 2025","Sun Sep 07 21:48:22 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.CheckoutTest","com.projects.tests.CheckoutTest","setUp","setUp",""
"skipped","Sun Sep 07 21:49:42 UTC 2025","Sun Sep 07 21:49:42 UTC 2025","1","AppiumSuite","AppiumTests","com.projects.tests.LoginTest","com.projects.tests.LoginTest","invalidLoginShouldShowErrorMessage","invalidLoginShouldShowErrorMessage","Verify that using invalid credentials displays the appropriate error message"
"skipped","Sun Sep 07 21:49:22 UTC 2025","Sun Sep 07 21:49:22 UTC 2025","0","AppiumSuite","AppiumTests","com.projects.tests.MenuTest","com.projects.tests.MenuTest","menuShouldOpenAndShowOptions","menuShouldOpenAndShowOptions","Verify that the menu opens successfully and displays the expected options"
